,Geography,cases,deaths,Estimated % of Households Below poverty level,Total Households,Household has three or more generations
1562,29173.0,9189,113.0,14.8,4091,98
1563,29175.0,10176,120.0,14.3,9342,307
1564,29177.0,1113,26.0,12.8,8957,315
1565,29179.0,2730,30.0,17.8,2778,73
1566,29181.0,6646,109.0,25.8,5637,240
1567,29195.0,5729,97.0,13.9,8883,280
1568,29197.0,1292,27.0,17.5,1796,42
1569,29199.0,3008,63.0,14.2,1880,26
1570,29201.0,6879,110.0,17.5,15538,573
1571,29203.0,826,27.0,25.0,3448,109
1572,29205.0,748,18.0,14.5,2581,43
1573,29183.0,12791,166.0,4.8,134274,4209
1574,29185.0,1786,41.0,18.0,4161,123
1575,29187.0,1893,15.0,15.5,23981,847
1576,29189.0,119034,984.0,9.1,404765,13682
1577,29510.0,2386,41.0,20.0,142057,5935
1578,29186.0,21473,307.0,10.3,7040,193
1579,29207.0,267272,3494.0,17.4,12255,358
1580,29209.0,69422,812.0,11.2,13690,379
1581,29211.0,4271,39.0,14.7,2740,77
1582,29213.0,6748,141.0,15.4,20755,693
1583,29215.0,6450,126.0,22.3,10057,272
1584,29217.0,1872,25.0,13.4,8396,241
1585,29219.0,15049,242.0,10.7,12339,463
1586,29221.0,5260,107.0,18.5,9355,375
1587,29223.0,5692,111.0,22.7,5717,191
1588,29225.0,9124,107.0,12.7,13062,445
1589,29227.0,6637,149.0,17.1,944,11
1590,29229.0,2673,55.0,20.4,7499,232
1591,30001.0,9720,157.0,20.1,4014,44
1592,30003.0,478,3.0,21.4,4004,518
1593,30005.0,4310,92.0,24.8,2357,159
1594,30007.0,2337,30.0,7.0,2347,34
1595,30009.0,5420,102.0,9.9,4571,62
1596,30011.0,2384,33.0,14.0,532,3
1597,30013.0,1441,22.0,14.1,33809,772
1598,30015.0,2283,28.0,15.2,2294,73
1599,30017.0,273,5.0,12.2,5031,83
1600,30019.0,27945,358.0,4.9,798,5
1601,30021.0,1136,15.0,11.8,3749,53
1602,30023.0,3293,50.0,19.7,4018,61
1603,30025.0,431,9.0,12.6,1233,17
1604,30027.0,2575,59.0,16.1,5099,75
1605,30029.0,2898,30.0,10.0,37504,787
1606,30031.0,715,10.0,12.0,36550,416
1607,30033.0,2790,60.0,10.1,532,3
1608,30035.0,32103,293.0,25.3,4361,422
1609,30037.0,39132,127.0,15.8,363,7
1610,30039.0,243,3.0,8.3,1417,19
1611,30041.0,4399,75.0,14.8,6275,226
1612,30043.0,159,5.0,5.7,4512,87
1613,30045.0,617,10.0,19.2,924,16
1614,30047.0,5079,73.0,15.8,11432,399
1615,30049.0,2927,25.0,9.4,26694,546
1616,30051.0,259,1.0,13.0,822,6
1617,30053.0,7549,104.0,16.3,8843,166
1618,30057.0,20400,193.0,7.1,3560,37
1619,30055.0,466,4.0,9.5,774,5
1620,30059.0,5271,91.0,17.1,806,10
1621,30061.0,2192,22.0,16.8,1911,42
1622,30063.0,424,9.0,14.0,45926,832
1623,30065.0,519,10.0,11.4,2046,42
1624,30067.0,1249,17.0,12.1,7310,82
1625,30069.0,31456,216.0,13.7,225,0
1626,30071.0,1010,31.0,11.6,1819,24
1627,30073.0,4868,36.0,9.5,2285,81
1628,30075.0,39,1.0,13.5,755,9
1629,30077.0,1116,29.0,18.5,2466,50
1630,30079.0,1354,9.0,12.4,551,4
1631,30081.0,395,10.0,12.9,16933,345
1632,30083.0,2108,30.0,10.0,4167,59
